-- Aqui os 1000 inserts de usuario.
Use adrianob_2025petcare5;
INSERT INTO usuarios (usuario_nome, cpf, email, verificado, telefone, tipo, senha) VALUES
('Jorge Lopes', '396.753.359-04', 'jorgeelopes@email.com', FALSE, '(11) 98765-4321', 'Comum', 'J0rg3L0p3s!'),
('Luís de Sousa', '480.782.959-95', 'luisdesousa@email.com', TRUE, '(21) 99876-5432', 'Ong', 'Lu!sD3S0u$a'),
('Francisco Mendes', '255.471.709-50', 'franciscomendes@email.com', FALSE, '(31) 97654-3210', 'Comum', 'Fr@nc!sc0'),
('Luciano da Costa', '982.059.766-86', 'lucianodacosta@email.com', TRUE, '(41) 96543-2109', 'Ong', 'L_c!an0C0sT@'),
('Lucas de Almeida', '713.395.037-51', 'lucasdealmeida@email.com', FALSE, '(51) 95432-1098', 'Comum', 'Luc4s_4lm3!d4'),
('Eduardo da Costa', '354.495.109-69', 'eduardodacosta@email.com', TRUE, '(61) 94321-0987', 'Ong', 'DuarD0C0sT@#'),
('Carlos Pereira', '827.891.677-29', 'carlospereira@email.com', FALSE, '(71) 93210-9876', 'Comum', 'C@rl0sP3r3!r@'),
('Luís Rodrigues', '894.241.115-09', 'luisrodrigues@email.com', TRUE, '(81) 92109-8765', 'Ong', 'Lu!sR0dr!gu3s'),
('Rafael Carvalho', '955.337.599-56', 'rafaelcarvalho@email.com', FALSE, '(91) 91098-7654', 'Comum', 'R@f43lC@rv@lh0'),
('Júlio de Souza', '611.245.940-00', 'juliodesouza@email.com', TRUE, '(11) 98765-1234', 'Ong', 'Jul!0D3S0u$a'),
('Adriano da Silva', '154.983.330-80', 'adrianodasilva@email.com', FALSE, '(21) 99876-1235', 'Comum', 'Adr!@n0S!lv@'),
('Márcio Ramos', '731.181.565-70', 'marcioramos@email.com', TRUE, '(31) 97654-1236', 'Ong', 'M4rc!0R@m0s!'),
('Roberto Pereira', '418.121.258-01', 'robertopereira@email.com', FALSE, '(41) 96543-1237', 'Comum', 'R0b3rt0P3r3!r@'),
('Gabriel Sousa', '579.204.514-34', 'gabrielsousa@email.com', TRUE, '(51) 95432-1238', 'Ong', 'G@br!3lS0u$a'),
('Paulo Rocha', '001.791.441-89', 'paulorocha@email.com', FALSE, '(61) 94321-1239', 'Comum', 'P4ul0R0ch4!'),
('Tiago Soares', '885.196.899-30', 'tiagosoares@email.com', TRUE, '(71) 93210-1240', 'Ong', 'T!ag0S0@r3s'),
('Tiago Cardoso', '774.974.768-07', 'tiagocardoso@email.com', FALSE, '(81) 92109-1241', 'Comum', 'T!ag0C@rd0s0'),
('André Barbosa', '466.821.381-05', 'andrebarbosa@email.com', TRUE, '(91) 91098-1242', 'Ong', 'Andr3B@rb0s@'),
('Marcos Machado', '498.629.699-03', 'marcosmachado@email.com', FALSE, '(11) 98765-1243', 'Comum', 'M@rc0sM@ch@d0'),
('Júlio Oliveira', '893.467.263-34', 'juliooliveira@email.com', TRUE, '(21) 99876-1244', 'Ong', 'Jul!00l!v3!r@'),
('Lucas Soares', '013.694.457-41', 'lucassoares@email.com', FALSE, '(31) 97654-1245', 'Comum', 'Luc@sS0ar3s'),
('Roberto de Souza', '096.339.527-00', 'robertodesouza@email.com', TRUE, '(41) 96543-1246', 'Ong', 'R0b3rt0D3S0u$a'),
('Ricardo de Oliveira', '249.937.999-50', 'ricardodeoliveira@email.com', FALSE, '(51) 95432-1247', 'Comum', 'R!c@rd0Ol!v3!r@'),
('Matheus Rodrigues', '610.432.053-81', 'matheusrodrigues@email.com', TRUE, '(61) 94321-1248', 'Ong', 'M@th3usR0dr!gu3s'),
('Marcelo Araujo', '748.174.147-66', 'marceloaraujo@email.com', FALSE, '(71) 93210-1249', 'Comum', 'M@rc3l0Ar@uj0'),
('Leandro de Araujo', '434.032.303-92', 'leandroaraujo@email.com', TRUE, '(81) 92109-1250', 'Ong', 'L3@ndr0Ar@uj0'),
('Daniel Costa', '130.261.372-35', 'danielcosta@email.com', FALSE, '(91) 91098-1251', 'Comum', 'D@n!3lC0st@'),
('Leandro Ferreira', '555.471.089-10', 'leandroferreira@email.com', TRUE, '(11) 98765-1252', 'Ong', 'L3@ndr0F3rr3!r@'),
